Itatira
21.47
21.3
21.27
21.99
23.52
26.94
27.25
29.28
29.64
30.25
28.22
25.88
24.51
23.44
22.89
22.5
21.91
21.36
21.17
21.45
21.66
21.62
21.46
21.6
21.78
23.41
30.09
32.2
32.73
33.28
36.4
37.27
37.52
34.71
33.17
30.82
28.04
26.84
26.31
25.73
25.23
24.93
24.54
24.28
24.04
23.87
23.69
23.66
23.74
24.61
26.49
29.08
31.14
34.04
33.68
30.69
34
34.47
34.27
32.1
27.86
26.4
25.93
25.61
25.17
24.71
24.21
23.68
23.5
23.61
23.37
23.08
22.99
22.39
22.25
24.64
27.4
29.25
31.56
33.18
31.29
32.16
32.35
34.95
29.27
26.21
25.22
25.04
25.16
24.69
23.77
23.62
23.24
22.68
22.43
22.18
22.42
21.62
21.76
25.73
29.49
29.84
30.01
30.65
31.6
31.76
29.44
27.36
25.87
24.68
23.72
23.09
23.02
23.63
23.99
24
23.97
23.7
23.17
22.37
21.54
23.14
24.16
28.05
30.93
33.26
34.21
34.94
37.52
38.03
34.01
33.07
29.31
26.88
25.75
25.2
24.58
23.83
23.78
23.71
23.21
23.25
23.28
23.57
23.91
24.6
27.32
28.76
31.1
32.92
33.69
36.57
37.52
38.67
38.81
37.04
30.8
27.72
26.02
24.97
24.76
24.43
23.31
22.8
22.57
22.75
23.27
23.29
23.17
24.53
27.31
30.18
31.93
32.9
35.02
37.11
36.64
37.25
35.56
35.15
30.65
27.6
26.12
25.32
24.53
23.89
23.75
23.64
23.47
23.36
23.05
22.85
23.01
24.56
26.78
30.43
32.24
34.54
35.09
34.09
36.54
33.97
32.87
30.16
28.54
27.59
26.62
25.66
25.15
25.07
25.15
25.01
24.73
24.38
24.1
24.12
24.02
24.17
25.53
26.46
28.74
31.54
34.16
34.88
32.14
34.17
32.99
30.3
28.4
27.51
26.31
25.63
24.17
23.47
23.29
23.04
22.63
22.47
22.35
22.5
22.54
23.36
25.56
25.83
26.47
28.17
25.34
26.23
27.87
26.89
25.79
24.12
23.23
22.56
22.31
22.47
22.71
22.56
22.33
